lon,lat,level,year,value
37.4088236805629,55.7821440176974,минимальный,2018,2
37.2082430228963,55.6117481859946,минимальный,2018,0
37.25470246693,55.6109842597361,минимальный,2018,0
37.3796872534965,55.7565765566446,минимальный,2018,0
37.5218928369454,55.7069718295046,минимальный,2018,5.8
37.5442638527216,55.496163252278,минимальный,2018,3
37.150729411491,55.976689644592,минимальный,2018,0
37.1717329693762,55.9940175925723,минимальный,2018,0
37.2276888814696,55.9904042984209,минимальный,2018,0
37.2052272988828,56.0138170989114,минимальный,2018,0
37.2022216083574,56.0122007966121,минимальный,2018,1.7
37.1695343038201,55.9928154476998,минимальный,2018,0
37.24740327459,55.9832321362285,минимальный,2018,0
37.2259445477003,55.9869910182646,минимальный,2018,4
37.2167094516235,55.9499814679811,минимальный,2018,2.2
37.2150399919806,55.9770973932265,минимальный,2018,6.1
37.1800339321862,55.9814893511976,минимальный,2018,3.9
37.2467333342714,55.9827962769048,минимальный,2018,2
37.2034346809254,56.0033520931041,минимальный,2018,0
37.2060347027985,55.9513337497798,минимальный,2018,0
37.3148280422066,55.4749613308374,минимальный,2018,3
37.3015018323309,55.4904335539608,минимальный,2018,2.2
37.3076819060368,55.4856751710937,минимальный,2018,0
37.3155083429766,55.4752625827739,минимальный,2018,1.7
37.2965556853544,55.4747912375565,минимальный,2018,0
37.3080068732826,55.4768444991789,минимальный,2018,1.5
37.3049159159667,55.4730586552095,минимальный,2018,3.8
37.2928405426022,55.4691930237144,минимальный,2018,4.6
37.3021703581759,55.4740814988085,минимальный,2018,0
37.3102037230327,55.4921241528214,минимальный,2018,2.9
37.2989521245935,55.4876919761489,минимальный,2018,0
37.561900829429,55.5059925235721,минимальный,2018,0
37.544829334942,55.488501238228,минимальный,2018,7.4
37.5558604917293,55.4959206152826,минимальный,2018,7.9
37.5663087176538,55.5075107108513,минимальный,2018,2.7
37.5738860956154,55.5127389040527,минимальный,2018,2.5
37.5655330918069,55.5095458630969,минимальный,2018,1.5
37.566554906591,55.5123416586363,минимальный,2018,4
37.5708871542237,55.5149502843909,минимальный,2018,4.7
37.5663173048857,55.5139434823693,минимальный,2018,5.2
37.401887698339,55.8898785593127,минимальный,2018,0
37.3431387677673,55.8528762618758,минимальный,2018,2.4
37.4230911826462,55.8325984937757,минимальный,2018,0
37.4112620022969,55.8348467689581,минимальный,2018,7.3
37.4088719787847,55.8395384642693,средний,2018,19
37.4323683962799,55.8667064324502,минимальный,2018,0
37.3644195300638,55.8554840305474,минимальный,2018,0
37.3737327627993,55.8341149804881,минимальный,2018,0
37.4412339344395,55.8260518995089,минимальный,2018,1.5
37.41732899912,55.8509659532068,минимальный,2018,7.9
37.4801148167451,55.7999059341489,минимальный,2018,1.5
37.4727606148402,55.7878388959914,минимальный,2018,0
37.4713401539629,55.7788476970625,минимальный,2018,0
37.482910014121,55.8103796648905,минимальный,2018,2.1
37.4504464432001,55.8606190967422,минимальный,2018,0
37.4667570260401,55.8232599801641,минимальный,2018,2.2
37.56970809114,55.8687856949455,минимальный,2018,0
37.5707016222623,55.8422623630821,минимальный,2018,2.6
37.5452531478456,55.9201403717021,минимальный,2018,0
37.3938298222648,55.8032457525046,минимальный,2018,0
37.3822447737849,55.8845362889405,минимальный,2018,0
37.4019723710488,55.7911098405635,минимальный,2018,0
37.3949503369764,55.8122877582004,минимальный,2018,0
37.773512765084,55.652650164221,минимальный,2018,0
37.8222344194241,55.6565577130042,минимальный,2018,2.7
37.8060520670225,55.6337895164055,минимальный,2018,1.5
37.7460286068587,55.668576343946,минимальный,2018,4.2
37.7472840084019,55.6705869991953,слабый,2018,15
37.6058452103326,55.6977854822811,минимальный,2018,3.8
37.6186583718677,55.6434892124908,минимальный,2018,0
37.6045723727115,55.6277970633888,минимальный,2018,3.2
37.6027719969564,55.6174744835065,минимальный,2018,0
37.5765169915268,55.6471874002107,минимальный,2018,3.6
37.5867822251863,55.6163196815208,минимальный,2018,3.8
37.5919559985225,55.5971421044736,минимальный,2018,6.6
37.6347606279349,55.5990424076608,минимальный,2018,2.5
37.6553954188415,55.5758219761399,минимальный,2018,4.6
37.5836271684467,55.6800476655687,минимальный,2018,3.5
37.6032022367464,55.6537556943753,минимальный,2018,4.4
37.5804598403267,55.6586129930689,слабый,2018,10.1
37.5522202720039,55.6468705485901,минимальный,2018,3.3
37.6030855409661,55.6801967719418,минимальный,2018,2.2
37.5710039871789,55.6707723549266,минимальный,2018,0
37.6710955488579,55.7233502173177,слабый,2018,13.4
37.6644673017974,55.7259184472801,средний,2018,17.5
37.6643801454859,55.5864258491548,минимальный,2018,0
37.6652082238231,55.5916265011255,минимальный,2018,0
37.6485957201078,55.6529607179879,минимальный,2018,0
37.6300701926859,55.6675403446293,минимальный,2018,7.4
37.6390565324454,55.6741428428549,минимальный,2018,5.5
37.6979357229742,55.6768462046529,минимальный,2018,3.2
37.6688949129545,55.6639658256565,минимальный,2018,3.5
37.6781355316418,55.6278446635384,минимальный,2018,1.6
37.6495986633597,55.6259583503285,слабый,2018,14.4
37.8239314059673,55.7092642651074,минимальный,2018,5.7
37.8116118241591,55.7018257182254,минимальный,2018,0
37.7983998932801,55.7146291592501,минимальный,2018,0
37.7523860327011,55.709954851024,минимальный,2018,7.8
37.793070353593,55.707215656595,минимальный,2018,5.3
37.7770000127025,55.7016769792942,минимальный,2018,0
37.7503574228963,55.6521599697363,минимальный,2018,6
37.741398966984,55.6434491114857,минимальный,2018,3.1
37.5258784106162,55.8029176217475,минимальный,2018,4.6
37.5024761059161,55.8061361135719,минимальный,2018,5.6
